semester,years,subj1,subj2,subj3,subj4,subj5,subj6,subj7,Final_Grade
1,2021,D,C+,C+,D,C,C,C,C+
1,2022,A,C+,B+,A,B,B+,A,A
1,2021,F,F,F,F,F,F,F,F
3,2020,C,C,C,C+,C,C,C,C+
2,2020,F,P,D,D,C,D,P,F
1,2022,P,D,C,D,D,P,P,D
2,2020,C+,C,C+,B+,C+,C,B,B
1,2023,F,F,F,F,F,F,F,F
1,2020,A,B,S,S,B,A,F,A
2,2021,S,A+,A,S,S,A,B+,S
2,2021,F,F,F,F,F,F,F,F
1,2022,B+,B+,B,B+,B+,B+,B+,B+
3,2020,C,B+,B,C+,C+,B,B,B
1,2022,P,D,P,P,P,F,P,P
1,2021,B+,B+,A,C+,A,A,B+,A
2,2020,A+,S,A,A,B+,A,S,S
1,2021,A+,B,P,C,F,F,D,D
2,2023,P,F,F,F,F,F,F,F
1,2022,B+,B,B,B,B,C,B+,B+
2,2023,B+,B+,B,B,C+,A,B+,B+
2,2020,D,P,P,D,C,C+,D,C
2,2023,D,C,C,P,D,D,F,D
2,2021,F,F,F,F,F,F,F,F
3,2021,C+,D,D,P,D,C,B,C
3,2021,P,C+,C,C+,C,C,C,C+
3,2023,F,F,F,F,F,F,F,F
2,2021,F,F,P,P,F,F,D,F
1,2020,B+,C,C+,A,B+,C+,B+,B+
1,2022,B,C+,B+,C+,B+,B+,B,B+
3,2021,F,F,F,F,F,F,F,F
3,2023,C,F,D,B,C,C+,C,D
1,2022,C,D,C,C+,C+,D,C,C+
3,2020,B+,C,B+,B+,B+,B,C+,B+
1,2022,F,F,F,F,F,F,F,F
3,2022,F,P,F,P,P,P,P,F
3,2023,F,F,F,P,P,F,F,F
2,2021,D,D,C+,C,D,P,P,C
3,2020,C+,C+,S,A+,C+,P,S,A
3,2023,B+,A+,A,B+,B+,B,A+,A
1,2021,C+,C,C+,C,C,C+,D,C+
1,2022,C,C,D,D,C,C,B,C
2,2022,A,D,C,S,S,F,B+,B
3,2020,A,B+,S,A,A,A+,S,A+
1,2020,F,A,C+,C,F,B,F,F
1,2023,F,F,F,F,F,F,F,F
2,2023,A+,S,S,S,S,A,A,S
1,2023,C,S,A+,C+,A,B+,S,A
2,2022,C+,D,C,C+,C,B,C,C+
1,2020,P,F,F,F,F,F,F,F
1,2023,P,D,D,F,D,P,D,F
2,2020,A,A+,A,B+,A,A+,A+,A+
2,2022,S,S,A+,A+,S,S,A,S
1,2022,S,S,A+,S,A,S,S,S
3,2021,F,F,F,F,F,F,F,F
3,2023,P,F,C+,C+,C,P,F,F
2,2022,F,F,F,F,F,F,F,F
3,2021,A+,B+,B+,B+,B,C+,B+,A
1,2023,B,F,C,C+,D,D,C+,D
1,2022,D,P,P,P,P,F,D,P
1,2022,C+,C,C,D,P,D,P,C
3,2022,C,C,B,B,C+,C,C,C+
1,2022,A,B+,B,B,B,C+,B,B+
2,2022,S,A,S,S,P,A+,S,S
1,2023,D,D,C,D,P,P,D,C
3,2023,C+,C,C+,C+,C+,C,D,C+
2,2021,C,C+,B,C+,C+,B,C,B
3,2022,S,S,S,S,S,S,S,S
1,2021,B+,F,F,F,D,F,F,F
1,2022,B+,D,S,S,A,B,B,A
3,2020,C+,B,C+,D,D,B+,C+,C+
3,2021,F,F,F,P,F,F,F,F
1,2020,A,C,B,B+,A,B,B+,B+
2,2020,F,D,P,F,F,P,F,F
1,2020,C+,C+,C,C,C+,C+,C,C+
1,2023,F,F,F,F,F,F,P,F
3,2020,F,F,F,D,F,P,F,F
1,2021,B+,B,C+,C+,B+,B,B+,B+
1,2022,A+,B,B+,B+,C+,B+,B,A
1,2020,S,S,S,S,A,A+,S,S
3,2021,D,C,C,C+,C,C,C+,C+
3,2021,S,S,S,F,S,C,S,B+
1,2022,S,A,A,A,B+,B+,A+,A+
2,2023,C,B,B,C+,D,C,B,B
3,2021,F,D,F,F,F,F,F,F
1,2022,F,P,D,P,D,F,D,F
3,2022,C,P,P,P,P,P,C,D
1,2023,F,F,F,F,F,F,F,F
3,2022,S,S,A+,S,A+,A+,S,S
3,2021,A,B+,B,B+,B+,A,B,A
1,2023,C+,C+,C,C+,D,C,C,C+
2,2023,F,F,F,F,P,F,F,F
2,2023,B+,C,C+,C,B,C+,C+,B
1,2023,B+,B+,B+,B,C+,A,C+,B+
3,2020,A,A+,C+,C+,B,B,B+,B+
2,2022,F,B,D,B,D,C+,D,D
2,2022,A,P,P,C+,P,S,S,B
1,2021,B,B,C+,B+,A,B+,B,B+
2,2020,P,D,P,D,D,D,D,D
2,2023,P,C,F,P,C+,D,P,F
3,2021,C,P,C,C+,C+,D,D,C
1,2022,B+,A,C+,B,C,B,C+,B+
3,2021,A,A,B+,A,A,C,C+,A
3,2021,A+,S,A,B,A,S,A+,A+
2,2022,B,C,C+,B,B,B,B,B
1,2022,S,A,S,S,S,S,A+,S
3,2020,D,D,P,C,F,F,F,F
2,2020,P,P,P,P,P,D,F,P
2,2021,C,B,C+,B,C+,C+,C+,B
2,2020,B+,B,B+,B+,C+,B,A+,B+
3,2023,F,F,B,F,F,B,C,F
3,2023,B,A,A,B+,A+,B+,B,A
3,2021,S,A,A,S,S,S,A+,S
1,2020,P,D,D,D,F,P,P,P
3,2020,C+,C,A,B+,C,C+,B,B
1,2023,A,B+,B+,B,A+,A+,B+,A
2,2020,S,S,S,A+,S,S,A+,S
1,2020,B+,B+,A,A+,B+,B,A,A
1,2021,C,B,B,C+,B,B+,B,B
3,2020,B,D,B+,C+,A,B+,B+,B
3,2022,D,D,C,F,F,D,P,F
2,2020,F,F,F,P,F,F,F,F
3,2022,P,F,F,D,F,F,F,F
2,2020,A,B,C+,B,B,B+,B+,B+
2,2023,P,F,D,C+,F,P,F,F
1,2020,C+,B,C+,C,C+,C,C,C+
3,2021,B,B+,B+,A,B,B,A+,A
3,2022,C,C,C,C,C+,C+,B,C+
2,2023,F,F,F,F,F,F,F,F
3,2022,C,F,F,D,F,D,F,F
1,2022,S,B+,A,A+,B+,A+,A,A+
1,2020,P,P,P,P,P,D,F,P
2,2023,F,C+,F,F,S,C,F,F
2,2020,S,S,S,S,S,S,S,S
1,2023,F,F,F,F,F,F,F,F
2,2022,C,F,P,D,P,P,D,F
3,2020,C,C+,C+,C+,C+,D,D,C+
3,2020,C+,C+,C+,C,C+,B+,C+,B
3,2023,B+,B+,C,A,C+,A+,C+,B+
3,2023,D,D,F,D,D,P,C,F
2,2023,D,D,C,C+,D,C,D,C
2,2022,F,F,D,F,F,P,F,F
3,2021,C+,F,B,P,F,B+,D,F
1,2021,D,C,C,C,C,C+,D,C
1,2021,S,S,S,S,S,S,S,S
3,2023,C,C,D,C,C+,C,C+,C+
3,2021,C,C,C+,C+,C+,C,C+,C+
1,2023,C,B+,A,B+,B+,A,B+,B+
2,2021,C+,C+,C,B,D,C,D,C+
2,2020,S,S,F,F,D,F,F,F
2,2021,A,S,A+,S,A,A,A+,S
3,2020,D,C,F,C+,P,D,C,P
2,2022,C+,C,D,C+,C,C+,D,C+
1,2023,A,B+,C+,C+,B,B+,A,B+
1,2023,F,F,F,F,F,F,F,F
3,2021,A,C+,B+,B,A,B+,B+,B+
3,2023,F,F,F,F,F,F,F,F
1,2020,B,A,B,A,A,B,B+,A
2,2020,B+,A,B+,A,C+,A,A+,A
2,2022,P,F,F,F,F,F,F,F
3,2023,C+,B,C+,C+,C+,C+,B+,B
1,2023,B+,A,B,C,B+,B,B+,B+
1,2022,C,S,S,S,S,S,A+,S
2,2020,F,F,F,F,F,F,F,F
1,2022,B+,B+,A,S,A,A,A,A+
2,2022,P,D,P,P,C,P,C+,D
3,2021,D,C,C+,C,C+,C+,C+,C+
3,2021,D,C+,C,C,C,C+,C+,C+
1,2023,C+,C,D,B,B,C,B,C+
2,2022,A,B+,S,A,A+,A,A,A+
1,2021,C+,C,C,C,B,B,C+,C+
1,2023,P,P,D,D,P,D,P,D
2,2023,S,S,A+,S,S,S,S,S
1,2022,S,S,S,S,S,S,A+,S
3,2023,C+,C+,C,C+,D,C+,C,C+
1,2020,A,A+,A,A,A,A+,A,A+
1,2023,F,F,F,F,F,F,F,F
2,2023,C,C,D,D,C,C,D,C
1,2020,F,F,F,P,F,F,F,F
2,2022,F,P,P,P,D,F,F,F
2,2023,A,S,A+,S,A+,S,S,S
3,2023,F,P,F,C,P,P,F,F
1,2022,F,F,F,F,F,F,F,F
2,2023,C,S,C,S,S,C+,S,A+
3,2021,F,F,F,F,F,F,F,F
2,2020,F,P,F,F,F,F,F,F
3,2021,F,F,F,F,F,F,F,F
2,2020,B,B,C,D,C,C,B,C+
2,2023,C+,C,P,C,P,P,C,C
3,2023,A,A+,A+,S,S,S,S,S
1,2022,A,C+,B,D,C+,B,C+,B
2,2022,P,D,D,P,D,F,F,F
1,2020,F,F,F,F,F,F,F,F
2,2022,F,F,C,F,P,F,F,F
2,2023,F,F,P,F,F,F,F,F
3,2020,F,F,D,F,F,F,F,F
3,2022,F,D,P,C,D,D,C+,P
2,2021,A+,S,S,S,B+,A,S,S
2,2023,S,S,S,S,S,S,S,S
2,2021,F,F,F,P,F,F,F,F
2,2022,S,S,A+,S,A+,A+,A,S
2,2023,C+,P,C+,C,C+,C,B,C+
1,2023,A,B+,B,C,B,B,B,B+
3,2022,F,P,F,F,P,F,F,F
1,2022,S,D,D,F,F,F,F,F
2,2021,B,C,D,C+,C,C+,B,C+
1,2021,F,F,C+,F,P,P,F,F
1,2020,C,D,D,C+,C,D,D,C
1,2023,P,P,D,F,F,F,C,F
1,2022,F,F,P,F,F,F,F,F
1,2023,S,S,S,S,S,S,A,S
1,2022,A,B+,B+,B+,B+,B+,B,A
3,2022,P,D,P,D,P,P,F,P
2,2021,B+,C+,B+,A+,B+,B,C+,B+
1,2021,C,D,P,D,C,P,C+,C
1,2022,A+,S,C+,S,S,S,A+,S
1,2023,P,D,P,F,D,D,F,F
3,2023,C,D,F,C,D,P,P,P
3,2020,F,F,F,F,F,F,F,F
3,2022,D,F,P,P,C+,P,D,F
2,2023,A+,A+,A+,A,A,A,A,A+
2,2020,C+,C+,B+,B+,B,B+,A,B+
3,2021,P,F,P,F,F,F,F,F
3,2020,C,C,D,C+,P,P,D,C
1,2023,C,P,D,D,F,F,F,F
1,2022,F,F,P,F,F,F,F,F
2,2022,B,C+,B+,B+,B,A,B,B+
3,2020,D,P,P,D,C+,B+,F,D
1,2022,B+,F,C+,A,C+,S,A+,C+
1,2020,F,F,F,F,F,F,F,F
1,2020,A+,S,A+,B+,A,A+,A,A+
3,2022,F,F,F,F,F,F,F,F
1,2020,F,F,B,C+,F,F,D,F
3,2023,F,F,F,F,F,P,F,F
3,2022,C,P,D,F,C,P,D,F
3,2020,D,D,C+,B,B,C,D,C+
1,2023,A+,B+,B,A,B+,B+,A+,A
3,2023,B+,A+,B+,A,B,B+,B+,A
1,2021,F,D,D,D,C,F,D,F
1,2021,C,C+,D,C,D,C,C+,C+
1,2023,A,B+,A,C,B,A,B+,B+
3,2020,S,S,S,S,A+,S,S,S
1,2023,B+,B+,B+,B+,B,C+,B,B+
3,2022,F,C,D,C,C,D,C,P
3,2022,C,C+,D,B,C+,B,B,C+
3,2022,A,A+,A+,B+,A+,A+,A+,A+
2,2021,B+,B+,B+,A+,B+,A+,A,A
1,2023,F,F,F,F,D,F,F,F
2,2021,C+,C+,C+,C+,F,C,P,C
3,2022,F,P,D,P,D,F,D,F
2,2022,F,F,D,F,F,F,F,F
3,2020,F,F,F,P,F,P,F,F
1,2022,F,F,F,P,P,F,F,F
3,2021,C+,C,D,B,C+,P,C,C+
2,2021,B+,A+,B,B+,C+,B+,B,A
1,2020,S,A+,S,S,A+,S,A+,S
2,2021,A,B+,B+,A,A,B,A,A
3,2022,B+,C+,B,B,B+,B,B,B+
2,2021,F,D,F,C,F,F,F,F
3,2021,F,S,C,D,S,F,P,D
3,2023,B+,F,F,F,F,F,C,F
1,2023,B+,C,C+,A,B+,C+,C+,B+
2,2022,S,S,S,S,S,S,S,S
2,2021,F,F,F,F,F,F,F,F
2,2020,F,F,P,F,F,F,F,F
2,2021,F,F,F,F,F,F,F,F
1,2020,D,P,C,C,F,C,P,D
2,2023,F,F,F,F,F,F,F,F
2,2020,C+,B,B,C+,B,B,B,B
2,2020,B+,B,B+,B,B+,B,B+,B+
3,2022,P,D,F,D,C,F,P,F
2,2023,D,D,D,P,F,D,F,F
1,2021,P,D,D,C,P,F,F,F
2,2023,C+,C+,C+,B,C,B,C,B
2,2023,C+,P,C,A,S,B+,S,B+
2,2020,B,C+,B,B+,C+,C+,C+,B
2,2022,F,F,F,C,F,F,P,F
1,2023,F,F,F,F,F,F,F,F
3,2021,C,B,C+,D,C,C+,B+,C+
1,2021,B,C+,C+,C,D,C,D,C+
1,2023,C+,D,D,P,F,F,C+,P
3,2023,C+,B,C+,C,C+,C+,C+,B
2,2021,C+,S,A+,C,A,A,S,A
3,2022,B+,A+,A,B,B+,B,C+,A
2,2020,D,P,C,F,C+,D,C,P
2,2021,P,P,F,F,P,P,F,F
3,2023,S,S,A,S,S,S,S,S
2,2020,F,F,F,F,F,F,F,F
2,2020,F,F,F,F,F,P,F,F
1,2023,D,C,C+,C,C+,C+,C+,C+
3,2021,F,F,F,F,F,F,P,F
2,2020,B+,C+,B+,B,B,A,B+,B+
2,2020,C,D,B,C,C,C+,C+,C+
2,2020,F,F,F,P,P,F,F,F
3,2023,F,F,F,F,C+,F,F,F
1,2020,C+,B,D,C+,B,D,C,C+
3,2021,A+,S,S,S,S,S,S,S
2,2020,B+,S,S,S,S,S,A+,S
3,2021,F,P,F,F,F,F,F,F
2,2021,B+,B+,B+,A,C+,B+,C+,B+
1,2021,F,P,D,C,P,F,P,F
2,2020,F,F,F,F,F,P,F,F
1,2022,C,B+,B+,C+,B+,B,C+,B
1,2021,C+,B,C,C,C,C,C,C+
3,2020,S,A+,A,S,S,S,S,S
2,2022,C,C,C+,B,C,C,C+,C+
1,2020,P,P,D,C,P,P,D,D
3,2020,B,A,B,B+,A,B+,B+,A
2,2023,F,F,F,F,F,F,F,F
2,2023,A+,S,B+,A,A+,A,A,A+
3,2022,P,F,F,F,P,F,F,F
1,2020,D,D,C+,D,C+,D,D,C
3,2021,F,F,F,F,F,F,A+,F
3,2021,F,F,F,F,F,F,F,F
2,2020,C,C,B,C,C+,D,C,C+
1,2020,C,B,C+,B+,B,B+,B,B
1,2022,A,A,B+,A+,S,A+,A+,A+
3,2020,B,C,B,B+,B+,C+,C+,B
3,2021,S,P,S,S,A+,S,S,S
1,2022,B,C+,C,D,B,B,C+,C+
1,2021,F,F,F,F,F,F,F,F
1,2021,B,B+,B,A,B,B+,B,B+
3,2022,S,S,S,S,S,A,S,S
2,2021,F,P,F,P,P,P,C,F
3,2020,D,C,F,C,C,D,D,P
1,2023,C+,C+,C,B+,C+,C+,C,B
1,2023,C,C+,D,B+,B,C,B,B
2,2020,A,S,A,A+,S,A+,S,S
1,2022,C+,C,D,B,C,C,C+,C+
3,2021,F,F,F,F,F,F,F,F
1,2023,C+,C+,C,C,C+,C,C+,C+
2,2022,D,S,A+,C,S,A,A+,A
3,2020,D,C+,C,D,D,C+,C,C
3,2022,F,F,F,F,F,F,F,F
2,2023,F,F,F,P,F,F,P,F
2,2022,C,C,C+,C,C+,D,P,C+
2,2023,A,C+,A,B+,A,B+,B+,A
1,2020,A+,S,S,S,A+,A+,S,S
1,2022,A,B,B,A,B,B,C+,B+
2,2020,C+,B+,A,B+,B+,B+,C,B+
1,2022,C,B,B,D,D,C+,C,C+
1,2020,F,F,F,F,F,F,F,F
